Epoch, Train Loss, Val Loss, Train Accuracy, Val Accuracy
0,2.5979928970336914, 2.6917166709899902
1,2.284146590610904,2.2174752784680716,19.864,32.79
2,2.077265003148247,1.84516636480259,38.86,49.03
3,1.555482167417131,1.2882292632815204,56.206,62.92
4,1.120619928592916,0.9679307258581813,68.092,72.81
5,0.8728407467417705,0.7761869441859329,75.176,77.81
6,0.7211880760881907,0.6667230189601078,79.442,80.71
7,0.624060282316964,0.586292175552513,82.026,82.95
8,0.5529247899646954,0.5266250884985622,83.992,84.89
9,0.49157932034843715,0.464528358435329,85.542,86.32
10,0.441788061767283,0.42388138401357434,86.996,87.35
11,0.4037147790117337,0.3857951971549022,88.076,88.54
12,0.37244585438457595,0.35743897794922697,88.878,89.18
