Epoch, Loss
1, 0.19546797171012678
2, 0.19512891154617135
3, 0.19508207258957028
4, 0.1949593774132383
5, 0.19484191246505486
6, 0.19460584002453635
7, 0.19430418015479534
8, 0.19403216522385572
9, 0.19393631290080451
10, 0.19372556663588927
11, 0.19377937963776498
12, 0.19368030302433062
13, 0.1935168573184054
14, 0.19345330415186343
15, 0.193449108775999
16, 0.19348523722909916
17, 0.19333493747690847
18, 0.19328872246274562
19, 0.19317882930609717
20, 0.1931868035878454
21, 0.19306860926118233
22, 0.19309244030065884
23, 0.19305272470278018
24, 0.19290687102498785
25, 0.19298777012809762
26, 0.19294704550873243
27, 0.19301928041268512
28, 0.1929101903301312
29, 0.19283186483866116
30, 0.19286319832684898
31, 0.19281589907051913
32, 0.19273235466180325
33, 0.19287121718499198
34, 0.19279760058754797
35, 0.19273803613460394
36, 0.1927563441810069
37, 0.19286960409457748
38, 0.19247893166186206
39, 0.19272531910555196
40, 0.1926455010832754
41, 0.19267644000841355
42, 0.19270225552353523
43, 0.19265660076443827
44, 0.1926288954548236
45, 0.19261031632802125
46, 0.19253082466976984
47, 0.19264028091102775
48, 0.19276437417530556
49, 0.19264048952728446
50, 0.19267523260131827
51, 0.1926119250497584
52, 0.19258326298392403
53, 0.19264403567004051
54, 0.1927045620421865
55, 0.19269618031376207
56, 0.19258153965986613
57, 0.19252295061342242
58, 0.19268695031529043
59, 0.19276617905859755
60, 0.19250019326774295
61, 0.19253390168012585
62, 0.19258914082479883
63, 0.19273620027341823
64, 0.19273200013172398
65, 0.192377084131434
66, 0.1923447583498223
67, 0.19244174220795823
68, 0.19249724515719707
69, 0.192450320812812
70, 0.19242330060711801
71, 0.19250844778028378
72, 0.19249261991937022
73, 0.19247629593557386
74, 0.19266806519044233
75, 0.1925223539950751
76, 0.19242076512211675
77, 0.19257996415596274
78, 0.19239661049868254
79, 0.19235058046226053
80, 0.19222275248722737
81, 0.19244937994269165
82, 0.19237287255174823
83, 0.19218591249573713
84, 0.1924228859004944
85, 0.19242354990767518
86, 0.1924727137154862
87, 0.192267671688152
88, 0.1922808662215784
89, 0.1923945633047171
90, 0.19232874381135523
91, 0.19240123888195704
92, 0.19208392462750742
93, 0.19221892894140438
94, 0.1923234042868431
95, 0.19228450633061211
96, 0.19223478055203647
97, 0.1923566614545739
98, 0.19211152072018906
99, 0.19236414056660525
100, 0.1921979521256266
